geo_id,state_id,county_id,county_name,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasing,industry_professional_scientific_management_administrative_and_waste_management_services,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_services,industry_other_services_except_public_administration,industry_public_administration
0500000US18089,18,089,Lake County,852,13890,34759,5198,24054,14870,2839,10665,19036,50945,22327,10579,7491
0500000US18107,18,107,Montgomery County,367,1293,5013,382,2121,962,446,459,1158,3806,1343,934,552
0500000US18113,18,113,Noble County,437,1146,9085,532,1862,989,298,816,935,3926,1296,1086,539
0500000US18001,18,001,Adams County,420,1376,4830,371,1527,509,283,584,894,2645,821,940,336
0500000US18041,18,041,Fayette County,64,582,2612,268,986,459,139,267,583,2540,767,276,315
0500000US19055,19,055,Delaware County,936,607,1999,243,1090,499,68,399,361,2018,494,367,253
0500000US19185,19,185,Wayne County,264,283,420,31,358,213,18,68,128,598,92,233,111
0500000US19113,19,113,Linn County,1096,7317,19293,2980,14194,6792,2725,9545,12095,26641,8444,4653,2805
0500000US19163,19,163,Scott County,743,5474,14174,2026,10165,4125,1475,5022,6763,19432,8295,3909,3209
0500000US19141,19,141,O'Brien County,670,538,1287,229,915,340,128,338,323,1629,412,389,181
