type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more,Total Pop,id,County Name
county,6041,a,U,N,100,132084,108893,0,0,240977,06041,Marin County
county,6043,a,R,N,100,16844,359,0,0,17203,06043,Mariposa County
county,6045,a,R,N,100,39077,0,0,0,39077,06045,Mendocino County
county,6045,a,R,T,100,1021,0,0,0,1021,06045,Mendocino County
county,6045,a,U,N,100,46064,0,0,0,46064,06045,Mendocino County
county,6045,a,U,T,100,587,0,0,0,587,06045,Mendocino County
county,6047,a,R,N,100,46855,1422,0,0,48277,06047,Merced County
county,6047,a,U,N,100,163253,66147,0,0,229400,06047,Merced County
county,6049,a,R,N,100,6152,0,0,0,6152,06049,Modoc County
county,6049,a,R,T,100,153,0,0,0,153,06049,Modoc County
county,6049,a,U,N,100,2536,0,0,0,2536,06049,Modoc County
county,6051,a,R,N,100,7027,0,0,0,7027,06051,Mono County
county,6051,a,R,T,100,122,0,0,0,122,06051,Mono County
county,6051,a,U,N,100,7295,0,0,0,7295,06051,Mono County
county,6053,a,R,N,100,49436,4100,0,0,53536,06053,Monterey County
county,6053,a,U,N,100,212838,167687,0,0,380525,06053,Monterey County
county,6055,a,R,N,100,16103,3464,0,0,19567,06055,Napa County
county,6055,a,U,N,100,52754,65423,0,0,118177,06055,Napa County
county,6057,a,R,N,100,42164,603,0,0,42767,06057,Nevada County
county,6057,a,U,N,100,56988,0,0,0,56988,06057,Nevada County
county,6059,a,R,N,100,11412,1666,0,0,13078,06059,Orange County
county,6059,a,U,N,100,1870777,1291837,0,0,3162614,06059,Orange County
county,6061,a,R,N,100,65331,4509,0,0,69840,06061,Placer County
county,6061,a,R,T,100,12,0,0,0,12,06061,Placer County
county,6061,a,U,N,100,230091,96447,1934,0,328472,06061,Placer County
county,6063,a,R,N,100,13903,0,0,0,13903,06063,Plumas County
county,6063,a,R,T,100,33,0,0,0,33,06063,Plumas County
county,6063,a,U,N,100,4871,0,0,0,4871,06063,Plumas County
county,6065,a,R,N,100,169817,2348,0,0,172165,06065,Riverside County
county,6065,a,R,T,100,7767,0,0,0,7767,06065,Riverside County
county,6065,a,U,N,100,1794411,461197,0,0,2255608,06065,Riverside County
