type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more
county,05093,acfosw,R,N,0.2,0,0,0,15638
county,05093,acfosw,U,N,0.2,0,0,0,25013
county,05095,acfosw,R,N,0.2,0,0,0,4556
county,05095,acfosw,U,N,0.2,0,0,0,2145
county,05097,acfosw,R,N,0.2,0,0,0,8986
county,05099,acfosw,R,N,0.2,0,0,0,5937
county,05099,acfosw,U,N,0.2,0,0,0,2315
county,05101,acfosw,R,N,0.2,0,0,0,7753
county,05103,acfosw,R,N,0.2,0,0,0,13665
county,05103,acfosw,U,N,0.2,0,0,0,9717
county,05105,acfosw,R,N,0.2,0,0,0,10455
county,05107,acfosw,R,N,0.2,0,0,0,8639
county,05107,acfosw,U,N,0.2,0,0,0,9143
county,05109,acfosw,R,N,0.2,0,0,0,10718
county,05111,acfosw,R,N,0.2,0,0,0,16883
county,05111,acfosw,U,N,0.2,0,0,0,6645
county,05113,acfosw,R,N,0.2,0,0,0,14751
county,05113,acfosw,U,N,0.2,0,0,0,5213
county,05115,acfosw,R,N,0.2,0,0,0,35484
county,05115,acfosw,U,N,0.2,0,0,0,28588
county,05117,acfosw,R,N,0.2,0,0,0,8062
county,05119,acfosw,R,N,0.2,0,0,0,49370
county,05119,acfosw,U,N,0.2,0,0,1,342540
county,05121,acfosw,R,N,0.2,0,0,0,12247
county,05121,acfosw,U,N,0.2,0,0,0,5711
county,05123,acfosw,R,N,0.2,0,0,0,14068
county,05123,acfosw,U,N,0.2,0,0,0,10926
county,05125,acfosw,R,N,0.2,0,1,0,47092
county,05125,acfosw,U,N,0.2,0,0,0,75332
county,05127,acfosw,R,N,0.2,0,0,0,7568
county,05127,acfosw,U,N,0.2,0,0,0,2713
county,05129,acfosw,R,N,0.2,0,0,0,7881
county,05131,acfosw,R,N,0.2,0,2,0,27407
county,05131,acfosw,U,N,0.2,0,1,0,100416
county,05133,acfosw,R,N,0.2,0,0,0,11252
county,05133,acfosw,U,N,0.2,0,0,0,5755
county,05135,acfosw,R,N,0.2,0,0,0,14026
county,05135,acfosw,U,N,0.2,0,0,0,3416
county,05137,acfosw,R,N,0.2,0,0,0,12506
county,05139,acfosw,R,N,0.2,0,0,0,21480
county,05139,acfosw,U,N,0.2,0,0,0,17202
county,05141,acfosw,R,N,0.2,0,0,0,16545
county,05143,acfosw,R,N,0.2,0,6,6,71557
county,05143,acfosw,U,N,0.2,0,1,0,167612
county,05145,acfosw,R,N,0.2,0,0,0,43183
county,05145,acfosw,U,N,0.2,0,0,0,35570
county,05147,acfosw,R,N,0.2,0,0,0,6320
county,05149,acfosw,R,N,0.2,0,0,0,16794
county,05149,acfosw,U,N,0.2,0,0,0,4547
county,06001,acfosw,R,N,0.2,0,3,0,13621
county,06001,acfosw,U,N,0.2,0,4,3,1657698
county,06003,acfosw,R,N,0.2,0,0,0,962
county,06003,acfosw,R,T,0.2,0,0,0,167
county,06005,acfosw,R,N,0.2,0,1,0,24969
county,06005,acfosw,R,T,0.2,0,0,0,13
county,06005,acfosw,U,N,0.2,0,0,0,14768
county,06007,acfosw,R,N,0.2,0,0,0,46639
county,06007,acfosw,R,T,0.2,0,0,0,52
county,06007,acfosw,U,N,0.2,0,0,0,169093
county,06007,acfosw,U,T,0.2,0,0,0,3402
county,06009,acfosw,R,N,0.2,0,0,0,34860
county,06009,acfosw,U,N,0.2,0,0,0,11045
county,06011,acfosw,R,N,0.2,0,0,0,7086
county,06011,acfosw,R,T,0.2,0,0,0,99
county,06011,acfosw,U,N,0.2,0,0,0,14362
county,06013,acfosw,R,N,0.2,0,14,0,19972
county,06013,acfosw,U,N,0.2,0,0,0,1133534
county,06013,acfosw,U,T,0.2,0,0,0,2
county,06015,acfosw,R,N,0.2,0,0,0,8382
county,06015,acfosw,R,T,0.2,0,0,0,996
