geo_id,dl_speed,has_0,has_1,has_2,has_3more,has_access,total_pop,urban_pop,rural_pop,total_access_pop_percent,urban_access_pop_percent,rural_access_pop_percent
0500000US02130,25.0,0,146,342,13413,13901,13901,10603,3298,1.0,1.0,1.0
0500000US02130,100.0,148,340,13413,0,13753,13901,10603,3298,0.9893532839364074,0.9997170612090918,0.9560339599757429
0500000US02130,250.0,148,340,13413,0,13753,13901,10603,3298,0.9893532839364074,0.9997170612090918,0.9560339599757429
0500000US02130,1000.0,13901,0,0,0,0,13901,10603,3298,0.0,0.0,0.0
0500000US02150,250.0,2010,10988,0,0,10988,12998,8719,4279,0.845360824742268,1.0,0.5302640803926151
0500000US02150,1000.0,12998,0,0,0,0,12998,8719,4279,0.0,0.0,0.0
0500000US02170,25.0,136,2251,18498,87432,108181,108317,49391,58926,0.9987444260827018,1.0,0.9976920205002885
0500000US02170,100.0,25660,55263,27394,0,82657,108317,49391,58926,0.7631027447215118,0.9857058978356381,0.5765197026779351
0500000US02170,250.0,26796,55507,26014,0,81521,108317,49391,58926,0.7526150096476084,0.9857058978356381,0.5572412856803448
0500000US02170,1000.0,72534,35783,0,0,35783,108317,49391,58926,0.3303544226668021,0.27065659735579356,0.38039235651495096
0500000US02180,0.2,0,135,3275,6594,10004,10004,3267,6737,1.0,1.0,1.0
0500000US02180,4.0,4060,2694,3211,39,5944,10004,3267,6737,0.5941623350659736,0.9996939087848179,0.3975063084458958
0500000US02180,10.0,4060,2694,3211,39,5944,10004,3267,6737,0.5941623350659736,0.9996939087848179,0.3975063084458958
0500000US02180,25.0,5145,4859,0,0,4859,10004,3267,6737,0.4857057177129148,0.977961432506887,0.24699421107317798
0500000US02180,100.0,10004,0,0,0,0,10004,3267,6737,0.0,0.0,0.0
0500000US02180,250.0,10004,0,0,0,0,10004,3267,6737,0.0,0.0,0.0
0500000US02180,1000.0,10004,0,0,0,0,10004,3267,6737,0.0,0.0,0.0
0500000US02185,10.0,2451,6681,700,0,7381,9832,3845,5987,0.7507119609438568,1.0,0.5906129948221146
0500000US02185,25.0,9772,60,0,0,60,9832,3845,5987,0.006102522375915379,0.015604681404421327,0.0
