geo_id,broadband_tech,urban_rural,tribal_non,dl_speed,has_0,has_1,has_2,has_3more,total_pop
0500000US06055,Cable,U,N,0.2,4462,113107,608,0,118177
0500000US06057,Cable,R,N,0.2,24330,17977,460,0,42767
0500000US06057,Cable,U,N,0.2,3984,52351,653,0,56988
0500000US06059,Cable,R,N,0.2,5852,7226,0,0,13078
0500000US06059,Cable,U,N,0.2,50321,3066521,44523,1249,3162614
0500000US06061,Cable,R,N,0.2,32961,34419,2460,0,69840
0500000US06061,Cable,R,T,0.2,12,0,0,0,12
0500000US06061,Cable,U,N,0.2,12165,295835,20472,0,328472
0500000US06063,Cable,R,N,0.2,10127,2976,777,23,13903
0500000US06063,Cable,R,T,0.2,33,0,0,0,33
0500000US06063,Cable,U,N,0.2,1423,3448,0,0,4871
